      T  ,      Cp  ,     H-H298,       S   ,  -(G-H298)/T,     H   ,    delta Hf,    log K
    deg-K,   J/mol-K,     kJ/mol,    J/mol-K,    J/mol-K  ,   kJ/mol,     kJ/mol ,     none
     300 ,    28.849,      0.053,    130.859,    130.682  ,    0.053,       0    ,      0   
     310 ,    28.912,      0.342,    131.806,    130.703  ,    0.342,       0    ,      0   
     320 ,    28.967,      0.632,    132.725,    130.752  ,    0.632,       0    ,      0   
     330 ,    29.013,      0.921,    133.617,    130.825  ,    0.921,       0    ,      0   
     340 ,    29.053,      1.212,    134.484,    130.920  ,    1.212,       0    ,      0   
     350 ,    29.086,      1.503,    135.327,    131.034  ,    1.503,       0    ,      0   
     360 ,    29.115,      1.794,    136.147,    131.165  ,    1.794,       0    ,      0   
     370 ,    29.139,      2.085,    136.945,    131.310  ,    2.085,       0    ,      0   
     380 ,    29.158,      2.376,    137.722,    131.469  ,    2.376,       0    ,      0   
     390 ,    29.175,      2.668,    138.480,    131.639  ,    2.668,       0    ,      0   
     400 ,    29.189,      2.960,    139.218,    131.819  ,    2.960,       0    ,      0   
     410 ,    29.200,      3.252,    139.939,    132.008  ,    3.252,       0    ,      0   
     420 ,    29.210,      3.544,    140.643,    132.205  ,    3.544,       0    ,      0   
     430 ,    29.218,      3.836,    141.330,    132.410  ,    3.836,       0    ,      0   
     440 ,    29.225,      4.128,    142.002,    132.620  ,    4.128,       0    ,      0   
     450 ,    29.231,      4.420,    142.659,    132.836  ,    4.420,       0    ,      0   
     460 ,    29.236,      4.713,    143.302,    133.057  ,    4.713,       0    ,      0   
     470 ,    29.241,      5.005,    143.930,    133.281  ,    5.005,       0    ,      0   
     480 ,    29.245,      5.298,    144.546,    133.510  ,    5.298,       0    ,      0   
     490 ,    29.249,      5.590,    145.149,    133.741  ,    5.590,       0    ,      0   
     500 ,    29.254,      5.883,    145.740,    133.975  ,    5.883,       0    ,      0   
     510 ,    29.258,      6.175,    146.319,    134.211  ,    6.175,       0    ,      0   
     520 ,    29.263,      6.468,    146.888,    134.450  ,    6.468,       0    ,      0   
     530 ,    29.268,      6.760,    147.445,    134.690  ,    6.760,       0    ,      0   
     540 ,    29.273,      7.053,    147.992,    134.931  ,    7.053,       0    ,      0   
     550 ,    29.279,      7.346,    148.529,    135.173  ,    7.346,       0    ,      0   
     560 ,    29.286,      7.639,    149.057,    135.417  ,    7.639,       0    ,      0   
     570 ,    29.293,      7.932,    149.575,    135.660  ,    7.932,       0    ,      0   
     580 ,    29.301,      8.225,    150.085,    135.905  ,    8.225,       0    ,      0   
     590 ,    29.309,      8.518,    150.586,    136.149  ,    8.518,       0    ,      0   
     600 ,    29.318,      8.811,    151.079,    136.394  ,    8.811,       0    ,      0   
