  T  ,      Cp   ,    H-H298,       S   ,  -(G-H298)/T,     H   ,    delta Hf,    log K
deg-K,   J/mol-K ,    kJ/mol,    J/mol-K,    J/mol-K  ,   kJ/mol,     kJ/mol ,    none
 300 ,    87.139 ,     0.161,    317.200,    316.663  , -546.729,   -546.901 ,   92.7301
 310 ,    87.923 ,     1.036,    320.070,    316.727  , -545.854,   -546.953 ,   89.6583
 320 ,    88.681 ,     1.919,    322.874,    316.875  , -544.971,   -547.002 ,   86.7782
 330 ,    89.413 ,     2.810,    325.614,    317.099  , -544.081,   -547.048 ,   84.0725
 340 ,    90.120 ,     3.708,    328.294,    317.389  , -543.183,   -547.090 ,   81.5256
 350 ,    90.803 ,     4.612,    330.916,    317.738  , -542.278,   -547.130 ,   79.1242
 360 ,    91.463 ,     5.524,    333.483,    318.140  , -541.367,   -547.168 ,   76.8560
 370 ,    92.100 ,     6.441,    335.998,    318.589  , -540.449,   -547.202 ,   74.7102
 380 ,    92.715 ,     7.366,    338.462,    319.079  , -539.525,   -547.235 ,   72.6773
 390 ,    93.308 ,     8.296,    340.878,    319.607  , -538.595,   -547.265 ,   70.7485
 400 ,    93.881 ,     9.232,    343.248,    320.169  , -537.659,   -547.294 ,   68.9161
 410 ,    94.433 ,    10.173,    345.573,    320.760  , -536.717,   -547.320 ,   67.1729
 420 ,    94.966 ,    11.120,    347.855,    321.378  , -535.770,   -547.346 ,   65.5127
 430 ,    95.481 ,    12.072,    350.096,    322.020  , -534.818,   -547.369 ,   63.9296
 440 ,    95.977 ,    13.030,    352.296,    322.683  , -533.861,   -547.392 ,   62.4184
 450 ,    96.455 ,    13.992,    354.459,    323.365  , -532.899,   -547.414 ,   60.9744
 460 ,    96.916 ,    14.959,    356.584,    324.065  , -531.932,   -547.434 ,   59.5930
 470 ,    97.361 ,    15.930,    358.673,    324.779  , -530.960,   -547.454 ,   58.2704
 480 ,    97.790 ,    16.906,    360.727,    325.506  , -529.985,   -547.474 ,   57.0029
 490 ,    98.203 ,    17.886,    362.748,    326.246  , -529.005,   -547.493 ,   55.7870
 500 ,    98.602 ,    18.870,    364.736,    326.996  , -528.021,   -547.511 ,   54.6197
 510 ,    98.986 ,    19.858,    366.692,    327.755  , -527.033,   -547.530 ,   53.4982
 520 ,    99.356 ,    20.850,    368.618,    328.522  , -526.041,   -547.548 ,   52.4198
 530 ,    99.713 ,    21.845,    370.514,    329.297  , -525.046,   -547.567 ,   51.3820
 540 ,   100.057 ,    22.844,    372.381,    330.077  , -524.047,   -547.586 ,   50.3827
 550 ,   100.388 ,    23.846,    374.220,    330.863  , -523.044,   -547.605 ,   49.4196
 560 ,   100.708 ,    24.852,    376.032,    331.654  , -522.039,   -547.625 ,   48.4909
 570 ,   101.016 ,    25.860,    377.817,    332.448  , -521.030,   -547.645 ,   47.5948
 580 ,   101.313 ,    26.872,    379.576,    333.245  , -520.019,   -547.666 ,   46.7295
 590 ,   101.600 ,    27.886,    381.311,    334.045  , -519.004,   -547.688 ,   45.8935
 600 ,   101.876 ,    28.904,    383.021,    334.848  , -517.987,   -547.711 ,   45.0854
 610 ,   102.143 ,    29.924,    384.707,    335.651  , -516.967,   -547.735 ,   44.3037
 620 ,   102.400 ,    30.947,    386.370,    336.456  , -515.944,   -547.760 ,   43.5472
 630 ,   102.648 ,    31.972,    388.010,    337.261  , -514.919,   -547.787 ,   42.8147
 640 ,   102.887 ,    33.000,    389.629,    338.067  , -513.891,   -547.815 ,   42.1051
 650 ,   103.118 ,    34.030,    391.226,    338.872  , -512.861,   -547.845 ,   41.4172
 660 ,   103.342 ,    35.062,    392.802,    339.677  , -511.829,   -547.876 ,   40.7501
 670 ,   103.557 ,    36.096,    394.357,    340.482  , -510.794,   -547.909 ,   40.1030
 680 ,   103.766 ,    37.133,    395.893,    341.286  , -509.757,   -547.944 ,   39.4748
 690 ,   103.967 ,    38.172,    397.409,    342.088  , -508.719,   -547.981 ,   38.8648
 700 ,   104.162 ,    39.212,    398.907,    342.889  , -507.678,   -548.020 ,   38.2721
 710 ,   104.350 ,    40.255,    400.386,    343.688  , -506.636,   -548.061 ,   37.6962
 720 ,   104.532 ,    41.299,    401.846,    344.486  , -505.591,   -548.104 ,   37.1361
 730 ,   104.709 ,    42.346,    403.289,    345.282  , -504.545,   -548.150 ,   36.5914
 740 ,   104.880 ,    43.394,    404.715,    346.075  , -503.497,   -548.199 ,   36.0614
 750 ,   105.045 ,    44.443,    406.124,    346.867  , -502.447,   -548.250 ,   35.5454
 760 ,   105.206 ,    45.494,    407.517,    347.655  , -501.396,   -548.305 ,   35.0430
 770 ,   105.361 ,    46.547,    408.893,    348.442  , -500.343,   -548.362 ,   34.5536
 780 ,   105.512 ,    47.602,    410.253,    349.226  , -499.289,   -548.422 ,   34.0766
 790 ,   105.659 ,    48.658,    411.598,    350.007  , -498.233,   -548.485 ,   33.6117
 800 ,   105.801 ,    49.715,    412.928,    350.785  , -497.176,   -548.552 ,   33.1584
 810 ,   105.939 ,    50.774,    414.244,    351.560  , -496.117,   -548.622 ,   32.7162
 820 ,   106.073 ,    51.834,    415.544,    352.333  , -495.057,   -548.695 ,   32.2847
 830 ,   106.203 ,    52.895,    416.831,    353.102  , -493.996,   -548.772 ,   31.8636
 840 ,   106.330 ,    53.958,    418.103,    353.868  , -492.933,   -548.853 ,   31.4524
 850 ,   106.453 ,    55.022,    419.363,    354.631  , -491.869,   -548.939 ,   31.0509
 860 ,   106.573 ,    56.087,    420.608,    355.391  , -490.804,   -549.028 ,   30.6586
 870 ,   106.689 ,    57.153,    421.841,    356.148  , -489.738,   -549.121 ,   30.2753
 880 ,   106.802 ,    58.220,    423.061,    356.901  , -488.670,   -549.219 ,   29.9006
 890 ,   106.911 ,    59.289,    424.268,    357.652  , -487.602,   -549.321 ,   29.5343
 900 ,   107.018 ,    60.359,    425.464,    358.398  , -486.532,   -549.428 ,   29.1761
 910 ,   107.122 ,    61.429,    426.647,    359.142  , -485.461,   -549.540 ,   28.8256
 920 ,   107.222 ,    62.501,    427.818,    359.882  , -484.389,   -549.657 ,   28.4827
 930 ,   107.320 ,    63.574,    428.978,    360.619  , -483.317,   -549.779 ,   28.1471
