     T   ,    Cp     ,  H-H298   ,    S      , -(G-H298)/T,     H    ,   delta Hf,  log K
     deg-,    J/mol-K,     kJ/mol,    J/mol-K,    J/mol-K ,    kJ/mol,     kJ/mol,  none
     273.15,  84.943 ,    -2.213 ,    60.694 ,    68.794  ,-1295.713 , -1292.936 ,  223.1304
     278.15,  86.396 ,    -1.784 ,    62.248 ,    68.662  ,-1295.284 , -1293.061 ,  218.6858
     283.15,  87.825 ,    -1.349 ,    63.800 ,    68.563  ,-1294.849 , -1293.180 ,  214.3977
     288.15,  89.230 ,    -0.906 ,    65.349 ,    68.494  ,-1294.406 , -1293.293 ,  210.2581
     293.15,  90.611 ,    -0.456 ,    66.896 ,    68.453  ,-1293.956 , -1293.399 ,  206.2594
     298.15,  91.969 ,     0.000 ,    68.440 ,    68.440  ,-1293.500 , -1293.500 ,  202.3944
     300 ,    92.466 ,     0.171 ,    69.010 ,    68.442  ,-1293.329 , -1293.536 ,  200.9970
     310 ,    95.099 ,     1.108 ,    72.086 ,    68.510  ,-1292.392 , -1293.716 ,  193.7314
     320 ,    97.646 ,     2.072 ,    75.145 ,    68.669  ,-1291.428 , -1293.873 ,  186.9189
     330 ,   100.113 ,     3.061 ,    78.188 ,    68.912  ,-1290.439 , -1294.008 ,  180.5187
     340 ,   102.504 ,     4.074 ,    81.212 ,    69.229  ,-1289.426 , -1294.123 ,  174.4943
     350 ,   104.825 ,     5.111 ,    84.217 ,    69.614  ,-1288.389 , -1294.217 ,  168.8137
     360 ,   107.081 ,     6.171 ,    87.202 ,    70.062  ,-1287.329 , -1294.291 ,  163.4484
     370 ,   109.277 ,     7.252 ,    90.166 ,    70.565  ,-1286.248 , -1294.346 ,  158.3728
     380 ,   111.421 ,     8.356 ,    93.109 ,    71.120  ,-1285.144 , -1294.383 ,  153.5642
     390 ,   113.517 ,     9.481 ,    96.030 ,    71.721  ,-1284.019 , -1294.400 ,  149.0021
     400 ,   115.572 ,    10.626 ,    98.930 ,    72.365  ,-1282.874 , -1294.400 ,  144.6681
     410 ,   117.593 ,    11.792 ,   101.809 ,    73.048  ,-1281.708 , -1294.383 ,  140.5455
     420 ,   119.586 ,    12.978 ,   104.667 ,    73.767  ,-1280.522 , -1294.348 ,  136.6193
     430 ,   121.557 ,    14.184 ,   107.504 ,    74.518  ,-1279.316 , -1294.296 ,  132.8758
     440 ,   123.514 ,    15.409 ,   110.321 ,    75.300  ,-1278.091 , -1294.227 ,  129.3027
     450 ,   125.463 ,    16.654 ,   113.118 ,    76.109  ,-1276.846 , -1294.142 ,  125.8886
     460 ,   127.411 ,    17.918 ,   115.897 ,    76.944  ,-1275.582 , -1294.040 ,  122.6231
     470 ,   129.366 ,    19.202 ,   118.658 ,    77.802  ,-1274.298 , -1293.921 ,  119.4969
     480 ,   131.334 ,    20.506 ,   121.402 ,    78.682  ,-1272.994 , -1293.785 ,  116.5012
     490 ,   133.321 ,    21.829 ,   124.131 ,    79.582  ,-1271.671 , -1293.632 ,  113.6281
     500 ,   135.337 ,    23.172 ,   126.844 ,    80.500  ,-1270.328 , -1293.461 ,  110.8703
     510 ,   137.387 ,    24.536 ,   129.545 ,    81.435  ,-1268.964 , -1293.273 ,  108.2210
     520 ,   139.479 ,    25.920 ,   132.233 ,    82.386  ,-1267.580 , -1293.067 ,  105.6740
     530 ,   141.620 ,    27.325 ,   134.910 ,    83.352  ,-1266.175 , -1292.843 ,  103.2235
     540 ,   143.817 ,    28.753 ,   137.577 ,    84.332  ,-1264.747 , -1292.599 ,  100.8642
     550 ,   146.079 ,    30.202 ,   140.237 ,    85.324  ,-1263.298 , -1292.337 ,   98.5912
     560 ,   148.411 ,    31.674 ,   142.890 ,    86.328  ,-1261.826 , -1292.053 ,   96.3997
     570 ,   150.823 ,    33.171 ,   145.538 ,    87.344  ,-1260.329 , -1291.749 ,   94.2857
     580 ,   153.320 ,    34.691 ,   148.182 ,    88.370  ,-1258.809 , -1291.423 ,   92.2450
     590 ,   155.911 ,    36.237 ,   150.825 ,    89.406  ,-1257.263 , -1291.075 ,   90.2741
     600 ,   158.603 ,    37.810 ,   153.468 ,    90.452  ,-1255.690 , -1290.702 ,   88.3693
