      T  ,      Cp  ,     H-H298,       S   ,  -(G-H298)/T,     H   ,    delta Hf ,   log K
    deg-K,   J/mol-K,     kJ/mol,    J/mol-K,    J/mol-K  ,   kJ/mol,     kJ/mol  ,   none
     273.15,  29.274,     -0.733,    202.582,    205.265  ,   -0.733,       0     ,     0   
     278.15,  29.292,     -0.587,    203.113,    205.222  ,   -0.587,       0     ,     0   
     283.15,  29.311,     -0.440,    203.635,    205.189  ,   -0.440,       0     ,     0   
     288.15,  29.332,     -0.294,    204.148,    205.167  ,   -0.294,       0     ,     0   
     293.15,  29.355,     -0.147,    204.653,    205.154  ,   -0.147,       0     ,     0   
     298.15,  29.378,      0.000,    205.149,    205.149  ,    0.000,       0     ,     0   
     300 ,    29.388,      0.054,    205.331,    205.150  ,    0.054,       0     ,     0   
     310 ,    29.440,      0.348,    206.296,    205.172  ,    0.348,       0     ,     0   
     320 ,    29.498,      0.643,    207.231,    205.221  ,    0.643,       0     ,     0   
     330 ,    29.561,      0.938,    208.140,    205.296  ,    0.938,       0     ,     0   
     340 ,    29.629,      1.234,    209.023,    205.393  ,    1.234,       0     ,     0   
     350 ,    29.701,      1.531,    209.883,    205.509  ,    1.531,       0     ,     0   
     360 ,    29.777,      1.828,    210.721,    205.642  ,    1.828,       0     ,     0   
     370 ,    29.857,      2.127,    211.538,    205.790  ,    2.127,       0     ,     0   
     380 ,    29.940,      2.426,    212.335,    205.952  ,    2.426,       0     ,     0   
     390 ,    30.026,      2.725,    213.114,    206.126  ,    2.725,       0     ,     0   
     400 ,    30.115,      3.026,    213.875,    206.310  ,    3.026,       0     ,     0   
     410 ,    30.206,      3.328,    214.620,    206.504  ,    3.328,       0     ,     0   
     420 ,    30.299,      3.630,    215.349,    206.706  ,    3.630,       0     ,     0   
     430 ,    30.394,      3.934,    216.063,    206.915  ,    3.934,       0     ,     0   
     440 ,    30.491,      4.238,    216.763,    207.131  ,    4.238,       0     ,     0   
     450 ,    30.589,      4.544,    217.449,    207.353  ,    4.544,       0     ,     0   
     460 ,    30.688,      4.850,    218.123,    207.579  ,    4.850,       0     ,     0   
     470 ,    30.788,      5.157,    218.784,    207.811  ,    5.157,       0     ,     0   
     480 ,    30.889,      5.466,    219.433,    208.046  ,    5.466,       0     ,     0   
     490 ,    30.990,      5.775,    220.071,    208.285  ,    5.775,       0     ,     0   
     500 ,    31.092,      6.086,    220.698,    208.527  ,    6.086,       0     ,     0   
     510 ,    31.193,      6.397,    221.315,    208.772  ,    6.397,       0     ,     0   
     520 ,    31.295,      6.709,    221.922,    209.019  ,    6.709,       0     ,     0   
     530 ,    31.396,      7.023,    222.519,    209.268  ,    7.023,       0     ,     0   
     540 ,    31.497,      7.337,    223.106,    209.519  ,    7.337,       0     ,     0   
     550 ,    31.598,      7.653,    223.685,    209.771  ,    7.653,       0     ,     0   
     560 ,    31.698,      7.969,    224.256,    210.025  ,    7.969,       0     ,     0   
     570 ,    31.797,      8.287,    224.817,    210.279  ,    8.287,       0     ,     0   
     580 ,    31.896,      8.605,    225.371,    210.535  ,    8.605,       0     ,     0   
     590 ,    31.993,      8.925,    225.917,    210.791  ,    8.925,       0     ,     0   
     600 ,    32.090,      9.245,    226.456,    211.048  ,    9.245,       0     ,     0   
